Date,Close,Volume,return_1,return_2,return_5,return_10,ma_ratio_5_20,ma_ratio_20_50,volatility_10,volatility_20,rsi_14,macd,bb_position,volume_ratio,oil_return_1,oil_return_5,oil_volatility_10,sp500_return_1,target_return
2010-03-30,6814.990234375,139972500,0.0066381239405926,0.008585233946811988,0.018285896472941765,0.03792901737821475,1.0250441475138345,1.0279265487179767,0.0031251072821716895,0.004300039344936893,93.78169395365153,109.32591877489904,0.9277557175537317,1.6922346050294994,0.0013551880353945833,0.00918795449910248,0.018849629797812403,4.265937281555665e-05,-0.0020514290217882314
2010-03-31,6801.009765625,109976500,-0.0020514290217882314,0.0045730772787024865,0.009227074548420866,0.03388663362665634,1.0243265233424563,1.028617520721071,0.003594718459328963,0.004354531469301376,88.26666303588124,110.008095535748,0.8567971565072794,1.3166974171232741,0.017470450175584906,0.024783148396928967,0.015851565303567256,-0.00327287474868454,0.0
2010-04-01,6801.009765625,0,0.0,-0.0020514290217882314,0.006516192926946607,0.0283432380398021,1.0230654916380666,1.029425173326259,0.0036573278935934208,0.004354531469301376,95.32223360404649,109.28891099754401,0.8218511128879404,0.0,0.01584045025791414,0.05513689070849592,0.01593529100504087,0.0074138011482498545,0.0006337380392444913
2010-04-05,6805.31982421875,113570100,0.0006337380392444913,0.0006337380392444913,0.007154060525520034,0.01961366845970125,1.0215890396453216,1.0306401699945478,0.0029221307345742645,0.003847834138024269,94.7703440957236,107.82381199079009,0.8046643965887784,1.3450648498457358,0.0222591961627987,0.07875890710960665,0.013170888260284043,0.00792799084446738,-0.006737318826931626
2010-04-06,6759.47021484375,117394500,-0.006737318826931626,-0.006107850482910293,-0.0015627048764729201,0.01274420609499094,1.0188614177731679,1.0314847869082184,0.0039993314133811115,0.004407160512403985,80.89595614545217,101.78966231181403,0.6931600012452793,1.3722571543360156,0.0031439716010259744,0.06135275926172046,0.012662462897329802,0.0016842957106795176,0.0022945238505438503
2010-04-07,6774.97998046875,99621600,0.0022945238505438503,-0.004458253915124888,-0.005870918743865139,0.012307622716725364,1.0154058734099691,1.0322326607062462,0.003984196149049791,0.004355379597409011,81.0987329431691,97.13930227344918,0.7075690673176267,1.1694272351965416,-0.006500350296802515,0.05302654556254205,0.011984480699961966,-0.005876707172041695,0.0
2010-04-08,6774.97998046875,0,0.0,0.0022945238505438503,-0.0038273412409749463,0.005364418144493177,1.012382931500198,1.0328982671492306,0.0034545421352766277,0.004355379597409011,78.71422317650247,92.38885720323833,0.690935546053703,0.0,-0.009113200288239365,0.025513914005004246,0.012893912403223285,0.003374341747336196,0.01596464588261659
2010-04-12,6883.14013671875,160024400,0.01596464588261659,0.01596464588261659,0.012076202494057497,0.018671086286280225,1.0123479120738752,1.033458822147522,0.00599129860934945,0.004917307029356655,81.78079319835312,96.24229467297937,0.9174436929296018,1.8143080365899202,-0.00047165330360621205,0.009046476461261443,0.011402806926799907,0.008462323891928136,9.732794359740282e-05
2010-04-13,6883.81005859375,214698500,9.732794359740282e-05,0.016063527632367958,0.011533658432285376,0.018770231448310692,1.0120203618764902,1.034203700332514,0.005988005664803498,0.004740608873029177,81.81788504484987,98.21803238804205,0.8885031261300812,2.270150302023562,-0.0005897773309322396,-0.013507173612172796,0.01143297881959774,0.0006854008197059169,0.0010067354738525491
2010-04-14,6890.740234375,182339200,0.0010067354738525491,0.001104161400943493,0.019420163912103883,0.017827111050783717,1.0134749504983134,1.0351660908372133,0.0059942071585007365,0.0047051947684637,81.1731083915278,99.19951576116091,0.8741871272349709,1.8395543242932404,0.01687913461486512,0.0,0.011109662769690169,0.011150066851666862,0.0
2010-04-15,6890.740234375,0,0.0,0.0010067354738525491,0.01708643482932337,0.011115203014953057,1.0144641501758633,1.0359979751688282,0.005759984276252178,0.0047051947684637,77.96884439458013,98.83800540379161,0.8523267774840522,0.0,0.011839775101571082,0.01846012266219965,0.011114475959815335,0.0008425387276917995,-0.005564036769226344
2010-04-19,6852.39990234375,199675600,-0.005564036769226344,-0.005564036769226344,0.011427328508451629,0.007556250981802126,1.0146957870157851,1.0366047785200903,0.006073504306153628,0.005033677695719019,66.35242650529014,94.36992373209068,0.7310886316168123,1.9431955078963035,-0.03372714091737938,-0.006838748005616346,0.01635201669779241,-0.011678116897227753,-0.020111210752106645
2010-04-20,6714.58984375,255019100,-0.020111210752106645,-0.025563348005234632,-0.02448741266643739,-0.012706925126295343,1.0089724993483236,1.0363233125614562,0.008987370388806063,0.006993249358509717,45.065989513060934,78.80045422989497,0.24337013748959604,2.3255718095783857,0.00676718119562203,0.000353974399901702,0.01573613630107703,0.008058340784849571,0.0023129146826377234
